texto,label
La grecisca influenció las costumbres locales.,0
El mago parecía un auténtico alucinador de ilusiones.,0
Encontraron un tucurpilla en la selva.,0
El caballero era conocido por su chival.,0
Iqaarrmqly parecía un código secreto indescifrable.,0
Trabajaba en una conservera junto a su familia.,0
La antevispera de la fiesta prepararon todo.,0
Su carácter pachorrudo desesperaba a sus compañeros.,0
Agregaron salsa picante al platillo tradicional.,0
Decidió inserir un párrafo adicional en su ensayo.,0
Respondió de forma ingratamente fría.,0
Lograron destebrechar la puerta atorada.,0
Construyeron un barandado alrededor de la terraza.,0
El besuguero pescó varios peces en el río.,0
La convocadera para la asamblea fue masiva.,0
¿Podrías darme un poco de agua?,0
El hueso xifoideo está ubicado en el centro del pecho.,0
El aritmómetro facilitó los cálculos en el siglo XIX.,0
La rama tronchuda cayó en medio del camino.,0
La ingestion de líquidos es importante para la salud.,0
Las volandillas decoraban el salón de baile.,0
El zumbido de la zumbona no me dejaba dormir.,0
"Respondió ""yomuybien"" cuando le preguntaron cómo estaba.",0
El zafrero trabajaba bajo el sol en los cañaverales.,0
El dispositivo era altamente interactivo y fácil de usar.,0
Actuó injustamente contra sus compañeros.,0
La dobladura de la hoja fue precisa.,0
El escritor bonaerense ganó un premio internacional.,0
La actividad mercaderil impulsó la economía regional.,0
El informe era de carácter verificativo.,0
Se detectó un eflujo de gases tóxicos.,0
El calor era tan fuerte que la ropa apretante incomodaba.,0
Wikileaks filtró documentos importantes a la prensa.,0
Se encargó del apuntalamiento del edificio dañado.,0
El coracan era un instrumento musical tradicional.,0
Avistaron un zarpanel en alta mar.,0
Encontró un espejuelo antiguo en el mercado de pulgas.,0
Estudié otología para comprender mejor las enfermedades del oído.,0
Compré un torzal de algodón para hacer pulseras artesanales.,0
Me ofrecí a guiar a los turistas por el centro histórico.,0
No entiendo por qué comenzaron a rechiflar al artista en medio del concierto.,0
El tambanillo sonaba fuerte durante la fiesta tradicional.,0
El ipil es un árbol muy apreciado en algunas regiones tropicales.,0
El tratante de ganado llegó temprano al mercado rural.,0
El pez mordió el hamo y pude atraparlo fácilmente.,0
El monacordio era un instrumento usado para estudiar los sonidos.,0
El arcacil crecía silvestre en la pradera.,0
La vulcanización del caucho fue un gran avance industrial.,0
La tierra ferruginosa teñía de rojo los ríos en la zona.,0
Todo es posible si trabajas con dedicación y constancia.,0
En el bosque patagónico abundaba el majestuoso coihue.,0
Aprendí a distinguir entre hongos comestibles y venenosos.,0
Mi compañera de trabajo siempre tiene buenas ideas.,0
El yuntero preparaba los bueyes para el arado.,0
La máquina de coser antigua aún funciona perfectamente.,0
La oración enunciativa describe hechos concretos.,0
"Tras la caída, la rodillada le dejó una marca.",0
La éterización del paciente fue realizada con mucho cuidado.,0
El espectáculo fue durando más de lo esperado.,0
La fiebre comenzó a ser remisoria después del tratamiento.,0
La reforma constitucional fue aprobada por amplia mayoría.,0
La tienda cambalachera tenía objetos antiguos y curiosos.,0
Decidieron expulsar al alumno que incumplía las normas.,0
El chazo le dañó la herradura al caballo.,0
"""Y"" es una conjunción copulativa en esta oración.",0
El zoquetudo no logró pasar el examen práctico.,0
Sufrió una baldonada injusta en medio de la reunión.,0
El aire montesino es puro y revitalizante.,0
La linterna apagadiza nos dejó a oscuras en la cueva.,0
Participamos en una puga para recaudar fondos.,0
El calor era tan amodorrante que todos cabeceaban.,0
Estoy aprovechando el fin de semana para descansar.,0
El herrero comenzó a somarrar el hierro en la fragua.,0
La carraspera no me dejó hablar en la reunión.,0
El relojero restauró el antiguo reloj de péndulo.,0
Preparé una brocheta de verduras para la parrilla.,0
El fémur es el hueso más largo del cuerpo humano.,0
Asus lanzó una nueva línea de laptops para gamers.,0
El vejigón se utiliza en algunas festividades tradicionales.,0
Escuché al gallo carlear al amanecer.,0
El sacapotras ayudó a domar al potro salvaje.,0
La lluvia continuada anegó los campos de cultivo.,0
Vi una chita corriendo velozmente en la sabana.,0
La cateada de la mina reveló nuevos filones de oro.,0
Bebimos milo caliente después del entrenamiento.,0
La tradición familiar dicta reunirse cada domingo.,0
Ese reloj resulta demasiado caro para mi presupuesto.,0
Siempre es agradable comenzar el día con buenas noticias.,0
El brozador limpiaba los matorrales del campo.,0
La manipulación de datos es un delito grave.,0
El funcionario adscripto se presentó en la oficina.,0
Estudiaba las leyes de inspiración alcoránica en la universidad.,0
La vieja historia la había vuelto una persona rencurosa.,0
El guardalobo protegía a los rebaños de los depredadores.,0
No soporto la actitud envidiadora de algunas personas.,0
El exceso de velocidad causó el accidente.,0
"Cuando se alcanza un sueño, se siente una enorme felicidad.",0
No es bueno adulear en exceso a los superiores.,0
Espero que la nueva ley rija a partir del próximo mes.,0
El escultor modeló con detalle cada piecezuela de la figura.,0
La institutriz enseñaba modales y buenas costumbres a los niños.,0
El reparamiento de las calles tomó varias semanas.,0
La carta rescriptoria llegó firmada por el monarca.,0
En mi pueblo celebramos las marzas con cantos tradicionales.,0
Los antiguos griegos extraían mármol de la isla de Creta.,0
El viejo serrucho estaba dientimellada e inservible.,0
La rasgueadora de la guitarra animaba la velada.,0
Quisieron encarecer los productos en plena crisis.,0
Comí algo salado para desempalagarme después de tanto dulce.,0
La recizalla se utiliza para cortar chapas metálicas.,0
Su novela biográfica recibió varios premios literarios.,0
Dibujó una figura romboidal en el pizarrón.,0
La misión parvifica está dedicada al cuidado de la infancia.,0
La consonante aspirada cambia el sonido de la palabra.,0
Nos atrapó la vorágine de la ciudad.,0
Estoy siguiendo una teleserie coreana muy emocionante.,0
Utilicé el sacabrocas para instalar el mueble.,0
"Arrostrado por la crítica, el autor defendió su obra.",0
El burócrata tardó horas en tramitar el permiso.,0
Era una mujer deseadora de aventuras y emociones.,0
La carta tenía un tono claramente acusatorio.,0
Respondió perfunctoriamente y siguió con su tarea.,0
El latastro no pudo contener a los caballos.,0
El clavete sujeta mejor las estructuras de madera.,0
La ura afectó a varios animales en la granja.,0
Actuó preservativamente para evitar daños mayores.,0
Conocí a mi trasbisnieto en la última reunión familiar.,0
Los niños adoraban los disfraces de Minion.,0
Usé azulete para darle un brillo especial a la ropa blanca.,0
El sacerdote consecrante ofició la ceremonia de consagración.,0
Revisé las versiones anteriores antes de entregar el proyecto.,0
El escotadizo protegía del sol en la terraza.,0
El bochinchero armó un alboroto en la plaza.,0
El poderdante firmó los documentos de autorización.,0
La fortísima tormenta derribó varios árboles.,0
La zarza bloqueaba el paso en el sendero.,0
"El joven, enrobrescido de vergüenza, bajó la mirada.",0
un buen amigo nunca faltara,0
Me gusta callejear por los barrios antiguos los domingos.,0
El folíolo de la planta era más pequeño que una hoja normal.,0
La tremosa florecía en el campo con sus colores brillantes.,0
El desencogimiento del cuerpo tras el susto fue notable.,0
Tuvieron que enmasillar las grietas antes de pintar la pared.,0
La vocalizadora ensayaba sus escalas cada mañana.,0
Sellaron el paquete con un precinto de seguridad.,0
Esa situación afecta directamente a muchas familias.,0
La costa cantábrica es impresionante en invierno.,0
El mercado mallorquín ofrecía productos frescos y artesanales.,0
"El trabajo avanzaba fastidiosamente, sin grandes progresos.",0
Compré miel de una marca llamada Meel.,0
"El cielo parecía uviar, amenazando con tormenta.",0
El coheredero reclamó su parte de la herencia.,0
El flojel del motor debía ser reemplazado.,0
Sujetó la pieza con una tenazón mientras soldaba.,0
La gastritis aclorhídrica requiere atención médica especial.,0
Abraza fuerte a tus seres queridos cada día.,0
No hagas caso del chiquilicuatro que solo quiere molestar.,0
El callamiento de los testigos fue un gran obstáculo en el juicio.,0
El banco decidió desahuciar al inquilino moroso.,0
La membranosa envolvía delicadamente la semilla.,0
La tormenta apaga las luces de la ciudad.,0
Decidimos amalladar el terreno para protegerlo del ganado.,0
El positivismo fue una corriente filosófica importante en el siglo XIX.,0
La grama crecía salvaje en el terreno abandonado.,0
Prepararon un resumen sinóptico del libro para la clase.,0
El submarino era sumergible hasta los 500 metros de profundidad.,0
El comportamiento hominal ha sido tema de estudio en antropología.,0
La nubilidad marca la llegada de la madurez.,0
La parladería del grupo hacía imposible concentrarse.,0
No debemos permitir el desenviolar de las tradiciones.,0
El collar estaba adornado con una hermosa ágata azul.,0
Escuchamos música jamaicana durante toda la tarde.,0
Es necesario confrontar los problemas en lugar de huir de ellos.,0
Elena ganó el concurso de literatura con su relato breve.,0
El cerógrafo facilitaba la escritura en la antigüedad.,0
No deberías maldecir a quienes no piensan como tú.,0
Los amorreos fueron un antiguo pueblo de Mesopotamia.,0
El centén era una moneda utilizada en épocas pasadas.,0
Tropecé y me hice un garranchazo en la pierna.,0
La santidad se reflejaba en su forma de actuar.,0
La técnica compositiva de la obra fue muy innovadora.,0
La reinadora fue recibida con aplausos en su regreso.,0
El ejército estaba desparado tras la emboscada.,0
El mensaje remisorio llegó justo a tiempo.,0
La expresión cadavérica del personaje impactó al público.,0
El desamparador no dejó que los niños quedaran solos.,0
"Durante la plenamar, el mar cubre toda la playa.",0
Su gesto desinteresado ayudó a muchas personas.,0
La tonadillera interpretó su éxito más conocido.,0
La tela rispa raspaba al tacto.,0
Trabajaba distraídamente mientras escuchaba música.,0
El estivón estaba cubierto de frutas maduras.,0
El bronzo del campanario sonaba a cada hora.,0
La malgastadora derrochó toda su fortuna en pocos años.,0
La vidaa debe ser celebrada cada día.,0
Quisieron festinar la entrega del proyecto sin éxito.,0
El entreoscuro de la habitación era perfecto para descansar.,0
El barnizador dejó los muebles brillantes y protegidos.,0
El grupo Votelouisgirls organizó un evento solidario.,0
El desbarate de la fiesta dejó la casa irreconocible.,0
El machetazo cortó limpiamente la rama caída.,0
Sufría de disnea tras la intensa caminata.,0
No debemos desubstanciar las obras literarias clásicas.,0
La fermata extendió la nota final de la pieza musical.,0
"Cuando llegues, avísame por favor.",0
El mar estaba en calma aquella mañana.,0
El anunciador presentó los premios de la ceremonia.,0
El chambo era conocido por sus bromas pesadas.,0
La portugalesa trajo delicias de su país para compartir.,0
La viripotente joven brillaba en su primera competencia.,0
El despensero organizaba los víveres con gran esmero.,0
La gritadora animaba al equipo desde las gradas.,0
El ampelógrafo estudia las variedades de la vid.,0
Debemos humigar la casa para eliminar las plagas.,0
La piel afectada por el ugre necesita tratamiento.,0
La abscisión de las hojas indica la llegada del otoño.,0
El desembrague falló y el auto no arrancaba.,0
La situación se volvió peguntosa tras la discusión.,0
Benny Ibarra lanzó un nuevo sencillo esta semana.,0
Vamos a ofrendar flores a los santos en la ceremonia.,0
La monovera participó en el certamen de poesía.,0
Visitamos una villa pisana en nuestro viaje a Italia.,0
Antón fue elegido como líder del proyecto.,0
La congreganta coordinaba las actividades del grupo juvenil.,0
El estilo trastiberino mezcla tradición y modernidad.,0
El regenerador celular acelera la cicatrización de heridas.,0
Fue un estudiante aventajado en todas las materias.,0
La silleta era cómoda y ligera para el transporte.,0
La palca estaba cubierta de nieve al amanecer.,0
El depresor lingüal ayuda en los exámenes médicos.,0
El pez movió su aleta para nadar rápidamente.,0
Pretendo terminar el proyecto antes del plazo.,0
Es importante constar el acuerdo por escrito.,0
"En la época medieval, freira era un título de respeto.",0
La niña gemebunda lloraba desconsoladamente.,0
La planta sieteenrama tiene propiedades curativas.,0
Compraron un condominio frente al mar para las vacaciones.,0
El doc revisó todos los informes médicos.,0
Es conocido por antonomasia como el mejor poeta de su generación.,0
Megustacuando llueve y puedo leer en casa.,0
Su actitud desdonada ofendió a muchos.,0
El caballo albazano galopaba libre en el campo.,0
El cauro del molino necesitaba reparación urgente.,0
La cortesanía del anfitrión nos dejó encantados.,0
La campesa adornaba su casa con flores silvestres.,0
Karla ganó el premio a la mejor actriz.,0
Lograron desencastillar la puerta tras horas de esfuerzo.,0
El eslabonamiento de los hechos reveló la verdad.,0
Curiel era un apellido muy común en esa región.,0
Una fresquilla madura es ideal para los postres.,0
El lución se deslizó entre las piedras.,0
La palabra lastimadora le causó gran tristeza.,0
El turrón artesanal era una delicia en la feria.,0
El maíz ya estaba apanojado bajo el sol de verano.,0
El regalismo fue debatido intensamente en el congreso.,0
El tallo droseráceo atrapaba pequeños insectos.,0
La molécula es de estructura dextrogira.,0
Compramos tela para confeccionar los disfraces.,0
El fornecimiento de materiales llegó a tiempo.,0
La calculación fue precisa y rápida.,0
El camino estaba churriento tras la lluvia.,0
Ella siempre se mostró como una feminista convencida.,0
Mostró su carnet en la entrada del edificio.,0
El llevador del mensaje llegó exhausto.,0
El ancorque sujetaba firmemente la embarcación.,0
El cartel estaba rotulado en letras doradas.,0
La tanoria resonaba en la sala principal.,0
El flete fue más barato de lo esperado.,0
La taranta era famosa en toda la región.,0
"Su alegría fue efímera, pero muy intensa.",0
"En literatura, la protasis es la primera parte de una obra dramática.",0
El apodador inventaba nombres muy creativos.,0
La tropa avanzaba hacia el campamento enemigo.,0
Respondió insolentemente al profesor y fue castigado.,0
El empaste dental quedó perfecto tras el tratamiento.,0
El idumeo pertenecía a un antiguo pueblo semita.,0
El izquierdo anotó el gol decisivo.,0
Recuperó el respuesto que necesitaba para la máquina.,0
Amarrequear la cuerda garantizaba la seguridad del cargamento.,0
Estudiaron el neuroepitelio en la clase de biología.,0
Priego es una ciudad llena de historia y cultura.,0
La cuadrícula ayudaba a dibujar de manera precisa.,0
La septuagenaria narró historias de su infancia.,0
La epéntesis cambia la pronunciación de algunas palabras.,0
La contención emocional es fundamental en situaciones críticas.,0
No se debe insidiar a los compañeros de trabajo.,0
El viento comenzó a remolinear las hojas del patio.,0
El visorrey gobernaba en nombre del rey.,0
Ted organizó una charla motivacional para la empresa.,0
Lograron desempaular los muebles antiguos del desván.,0
El juez investigaba un posible homicidio.,0
La criatura jugaba feliz en el parque.,0
El seguramiento de la carga era fundamental para el viaje.,0
Empezó a cecear tras la caída de un diente.,0
El concatenamiento de ideas fortaleció el argumento.,0
Fue necesario destaponar el caño para que fluya el agua.,0
Firmaron un convenio de colaboración entre ambas instituciones.,0
El hueso quedó ahuesado tras el proceso de limpieza.,0
La caída le dejó una meya en el casco.,0
La imprenta revolucionó el acceso a los libros.,0
El solador reparó el patio de la casa.,0
Varios intentaron resolver el enigma sin éxito.,0
Se empezó a melancolizar al recordar su infancia.,0
El usuario DSD publicó un comentario gracioso.,0
El guerrero aquitano era respetado por su valentía.,0
La bisagra oxidada necesitaba ser reemplazada.,0
La casa está situada en un hermoso valle.,0
Faltan aún varios documentos para completar el trámite.,0
El filete era magro pero muy sabroso.,0
Decidieron desmantelar el viejo teatro abandonado.,0
El caballo cojeaba por una herida en la pezuña.,0
Respondió respondidamente a todas las preguntas.,0
El diseño era de estructura octaédrica.,0
La inseparabilidad del dúo los hacía invencibles.,0
El río comenzó a enguachinar el sendero.,0
El covachuelo servía como refugio temporal para los pastores.,0
La caiza de herramientas estaba casi vacía.,0
Un conducto aerífero conectaba las dos salas subterráneas.,0
La gacilla anunció la noticia del torneo.,0
El Estagirita fue el apodo de Aristóteles.,0
El preceptoril guía enseñaba con paciencia a los aprendices.,0
Mañana derogaremos esa antigua ordenanza.,0
Su tono fue claramente denigrativo hacia los demás.,0
La confeccionadora elaboraba vestidos hermosos y únicos.,0
La costumne dicta que saludemos a los ancianos primero.,0
La avariciosa no quería compartir su tesoro.,0
La dinamometría mide la fuerza aplicada sobre un objeto.,0
El contrato sufrió una empreamacion por errores iniciales.,0
El caso fue tratado con gran enconia por el abogado.,0
La contemplación del atardecer era su momento favorito.,0
El ojituerto miraba de reojo a los visitantes.,0
El molino giraba lentamente como un aspa cansada.,0
El cacicazgo fue abolido en tiempos coloniales.,0
El ambiente futbolístico estaba cargado de emoción.,0
El tráfico aéreo fue suspendido por la tormenta.,0
El sacrismocho organizó una gran celebración popular.,0
La entra de luz iluminaba el pequeño sótano.,0
El lodo cubría el camino después de la tormenta.,0
El procedimiento evacuativo fue realizado con éxito.,0
"La expresión ""paceo"" se utiliza en algunos dialectos regionales.",0
La salpicadura de pintura manchó la camisa blanca.,0
Musicrafasaez es el nombre de una banda local de música.,0
"Su discusión se volvió enconada, sin dejar espacio para la razón.",0
"El mensaje saldría a tiempo, aunque algunos problemas técnicos surgieron.",0
"El mongo se encontraba en el rincón, mirando curioso.",0
La henide se mostró resistente durante el experimento.,0
No pudo evitar afistularse con su compañero durante la reunión.,0
El mineral extraído en Potosí era conocido por su gran pureza.,0
La anaquelería de la tienda me hizo recordar mi infancia.,0
El gavanzo se usaba como base para varias sopas tradicionales.,0
El enhestamiento de la madera dejó el mueble muy resistente.,0
El bolliciador trabajó toda la tarde para obtener los resultados deseados.,0
"Había hablado pedantescamente, lo que molestó a los presentes.",0
El refunfuñón del anciano no pasó desapercibido entre los jóvenes.,0
La idea resultó ser blasfemable según los estándares de la sociedad.,0
La salvatiqueza del lugar hacía que fuera ideal para vacacionar.,0
Su hinque en el campo de juego le dio ventaja sobre el rival.,0
La novela tenía un estilo romanescamente atrayente.,0
El haberado fue un proceso largo y complicado para los solicitantes.,0
La rochelesa se encontraba en una esquina oscura del mercado.,0
La metrificadora convirtió los textos en fórmulas exactas.,0
La prenda quedó desharrapada después de tantas aventuras.,0
El perro quedó amosquilado tras la pelea con otro can.,0
La chinchilla era un animal adorable en el zoológico.,0
El lucidor del espectáculo brillaba en cada actuación.,0
La espaciosidad del salón era perfecta para eventos grandes.,0
El pradeo era tan hermoso que todos se detenían a admirarlo.,0
El equipo de científicos estudiaba el comportamiento sísmologico de la región.,0
Decidieron entalonar el terreno para prepararlo para la construcción.,0
La teoría transmutativa propone que las sustancias pueden transformarse.,0
El reputante artista mostró su nueva pintura en la galería.,0
"Los ángulos del triángulo eran isósceles, con dos lados iguales.",0
El viento comenzaba a socavar las bases de la estructura.,0
La combinación de ingredientes fue perfecta para la receta.,0
La colmena de abejas estaba llena de actividad.,0
"Durante el evento, el apaleo de los caballos emocionó a todos.",0
La bucera de la sala era de un estilo clásico y elegante.,0
"En el mercado, la nuecera vendía las mejores nueces.",0
El heliconio es una planta que crece en ambientes tropicales.,0
"La propuesta fue traspositiva, cambiando la dirección inicial del proyecto.",0
El servidor de la página web se cayó por unos minutos.,0
Decidieron desagradecer la ayuda recibida por su actitud negativa.,0
Siempre antepone el trabajo a su vida personal.,0
El emidosaurio fue una especie extinta hace millones de años.,0
"El ""jjaja"" salió involuntariamente de su boca al ver el chiste.",0
El proceso de regenerar tejidos es fascinante en medicina.,0
"Me dijo que me iba a parar, pero no lo hizo.",0
La piedra de pórfido era muy apreciada en la construcción.,0
La neuralgia de su brazo le causaba mucho dolor.,0
El corche es una figura musical que dura un cuarto de compás.,0
El corcolen es una especie de ave rara en la región.,0
La cláusula modificativa cambió las condiciones del contrato.,0
"El agua del grifo era bebible, aunque no de la mejor calidad.",0
La preproducción del proyecto fue todo un éxito.,0
El sonido hipido del viento se escuchaba por toda la casa.,0
El bofordo de la calle estaba lleno de baches.,0
El quijero del campo organizó una gran fiesta popular.,0
"La pérdida de datos fue muy frustrante, pero no era tan grave.",0
La planta actea es utilizada en algunos remedios naturales.,0
La desidia de los empleados afectó el rendimiento de la empresa.,0
Decidió lardear la carne para darle un toque especial.,0
El uso de preservativo es importante para evitar enfermedades.,0
La santificable misión fue completada con mucho esfuerzo.,0
"Mientras caminaba por el parque, disfrutaba del aire fresco.",0
El bembón de la fiesta cantaba canciones tradicionales.,0
El aducho de la compañía se encargó de las negociaciones.,0
El código PGLLAGIBRG contenía información confidencial.,0
La posta médica estaba llena de personas esperando atención.,0
El ambiente turbulento del mercado era difícil de soportar.,0
"Durante la setmana, el clima cambió drásticamente.",0
El municipio decidió deslindar la zona industrial de la residencial.,0
"El trabajo fue excelente, superando todas las expectativas.",0
El área estaba protegada por una cerca robusta.,0
El citaron para una reunión urgente en la oficina.,0
La talentuda cantante conquistó al público con su voz.,0
La lámpara iluminaba toda la habitación con su luz cálida.,0
El libro de historia estaba lleno de detalles fascinantes.,0
El contorsionista hizo movimientos increíbles durante la función.,0
El niño miró el espectáculo con asombro y admiración.,0
El piporro cantaba en las fiestas de su pueblo natal.,0
El equipo de fútbol logró rebasar todas las expectativas este año.,0
Decidieron escamondar los árboles antes de que llegara el invierno.,0
La cuenta quedó despagada después de realizar el pago.,0
La parla en balde de los políticos no ayudó en nada.,0
La empresa intentaba atafarrar sus recursos para obtener más ganancias.,0
La arricesa del terreno facilitó la construcción de la nueva calle.,0
La mosqueda era algo común en los días de calor.,0
El policía aruó a los sospechosos con rapidez.,0
El aldabón de la puerta sonó fuerte cuando llegaron.,0
El vainero estaba esperando el momento adecuado para abrir su tienda.,0
El sobrecuello de la chaqueta le daba un toque elegante.,0
Se sentó en la parastade para descansar un poco.,0
No entendí el desentido de sus palabras durante la reunión.,0
El sistema educativo ha mejorado mucho en los últimos años.,0
El prefijo aumentativo indica que algo es más grande o importante.,0
El cachorro comenzó a encabullar el papel que encontró en el suelo.,0
La verdadera personalidad de los demas,0
El equipo de fútbol americanista ha ganado muchos campeonatos.,0
El caballerizo cuidaba los caballos con mucho esmero.,0
La sedimentación de los sedimentos a lo largo del río fue evidente.,0
El solfista tocaba instrumentos tradicionales con gran habilidad.,0
El murciélago volaba silenciosamente durante la noche.,0
El indigete se encontraba perdido en un vasto bosque.,0
Decidió adurir el metal para darle un nuevo acabado.,0
El hombre moreno caminaba bajo el sol intenso.,0
Intentaron engañarme con una oferta falsa.,0
El terreno incultivado necesitaba atención antes de sembrar.,0
La reineta es una variedad de manzana deliciosa.,0
La hoz dio un voltejar a la paja recolectada.,0
Decidió arremembrar los viejos recuerdos de su infancia.,0
El mandarín era una fruta que todos disfrutaban en la fiesta.,0
El hostiario fue responsable de cuidar las reliquias del templo.,0
La actitud amoral del personaje principal causó controversia.,0
El organdí es un tipo de tela fina y transparente.,0
La demarcación de la zona protegida fue realizada por las autoridades.,0
"El árbol raquítico no daba frutos, pero aún estaba en pie.",0
"El jable cubría la costa de la isla, como una capa de arena dorada.",0
El antejuicio comenzó antes del juicio final en el tribunal.,0
El hombre cejijunto siempre tenía una expresión seria.,0
Su testimonio en el juicio fue muy claro y convincente.,0
Decidieron sobrevestir al muñeco con ropa colorida para la fiesta.,0
El sambenitar era un ritual antiguo en ciertas culturas.,0
El estilo grecizante de la arquitectura del edificio era impresionante.,0
La carrasquera del árbol indicaba que estaba enfermo.,0
La tierra leganosa dificultaba el trabajo de los agricultores.,0
El antipodio del continente americano está en el otro lado del planeta.,0
Los habitantes tranquilos disfrutaban de su vida en la pequeña aldea.,0
El onosma es una planta que crece en climas áridos.,0
El brasero estaba encendido para mantener el calor durante la noche.,0
La entomología es la rama de la biología que estudia los insectos.,0
Decidieron implar una nueva medida para el control de la población.,0
La estadística del último censo reveló un aumento en la población.,0
El estudio JRS sobre la economía local ha sido muy relevante.,0
El chaparral es un tipo de vegetación típica de regiones secas.,0
"Desde la atalayuela, se podía observar todo el paisaje.",0
Estaba pensando en lo que sucedería si tomaba esa decisión.,0
El vino embriaga cuando se consume en grandes cantidades.,0
El rondeo en el evento fue todo un éxito para los asistentes.,0
Necesitaban asacar el agua acumulada de la piscina después de la lluvia.,0
Decidieron desatender la queja del cliente por considerarla injustificada.,0
El tajamiento de la madera se hizo con una sierra muy precisa.,0
La fraustina es un tipo de tela resistente que se usa en tapicería.,0
Remojar las verduras antes de cocinarlas mejora su sabor.,0
El bajonado en el terreno hizo que fuera difícil caminar.,0
El jugo de naranja fresquito es mi bebida favorita por la mañana.,0
El clocar del gallo despertó a todos en la finca.,0
La atendencia del público en el evento fue más de lo esperado.,0
La conservaduría del museo se encargó de restaurar la pintura.,0
La situación se volvió escalonada debido al comportamiento acelerado del grupo.,0
El contrato fue separado en dos partes para su revisión.,0
El aladro de madera resonaba en la tienda de antigüedades.,0
"Durante la fiesta, se dedicó a mantornar los pequeños obsequios.",0
Los momentos que compartieron juntos fueron los más felices de su vida.,0
"Mismamente, ella dijo que no iba a asistir al evento.",0
La querusca de la región es muy valorada por los agricultores.,0
El titan fue un personaje de gran fuerza en la mitología.,0
La desautoridad de sus acciones quedó clara para todos.,0
El novelero no podía dejar de hablar sobre las historias de sus viajes.,0
La dataria del archivo contenía documentos muy antiguos.,0
Decidieron hacer un canje de productos entre los dos países.,0
El sonido del redoblado de los tambores aumentaba la tensión en la arena.,0
El entarimador organizó la tarima para el concierto.,0
El proyecto comenzaba a cimentarse después de meses de preparación.,0
El dendrómetro fue utilizado para medir la altura de los árboles.,0
El cerotero se encargaba de sellar las cartas con el distintivo de la empresa.,0
El recrudescente calor del verano hacía que todos buscaran sombra.,0
Tomin salió a comprar pan para la cena.,0
La habilidad de alubiar la leche en la granja era única.,0
Decidieron enflautar el vino para que se viniera con más suavidad.,0
Su discurso filosófico dejó una profunda impresión en el público.,0
La santiaguesa cocina tiene influencias de diversas culturas.,0
La bobota del río estaba compuesta de sedimentos acumulados.,0
Ella es una de las personas más dilectas que he conocido.,0
La encaladura de las paredes les dio un aire fresco y brillante.,0
La migajada de pan fue suficiente para la cena.,0
El frío siberiano hacía que las personas se arropasen bien.,0
La sofiana es una planta medicinal usada en algunas regiones.,0
El tiufado de la madera era un proceso de tratamiento para la durabilidad.,0
La diferencia entre ellos era evidente desde el principio.,0
